Title,Year,Box Office Gross
Parasite,2019,266000000
Ford v Ferrari,2019,225500000
Little Women,2019,206000000
Marriage Story,2019,2300000
Jojo Rabbit,2019,90300000
Toy Story 4,2019,1073000000
Joker,2019,1074000000
Once Upon a Time in Hollywood,2019,374300000
1917,2019,368700000
Judy,2019,42100000
Bombshell,2019,59600000
Rocketman,2019,195200000
Green Book,2018,328600000
Bohemian Rhapsody,2018,903700000
Roma,2018,5100000
Black Panther,2018,1347000000
The Favourite,2018,95900000
A Star Is Born,2018,436200000
Vice,2018,76100000
BlacKkKlansman,2018,93400000
First Man,2018,105700000
If Beale Street Could Talk,2018,20600000
Free Solo,2018,28600000
Spider-Man: Into the Spider-Verse,2018,375500000
The Shape of Water,2017,195200000
Dunkirk,2017,526900000
Three Billboards Outside Ebbing, Missouri,2017,160100000
Darkest Hour,2017,150900000
Blade Runner 2049,2017,260500000
Coco,2017,807100000
Phantom Thread,2017,47800000
Call Me by Your Name,2017,41900000
Get Out,2017,255400000
I, Tonya,2017,53900000
A Fantastic Woman,2017,3700000
Moonlight,2016,65300000
La La Land,2016,446100000
Hacksaw Ridge,2016,180400000
Manchester by the Sea,2016,79000000
Arrival,2016,203400000
Fences,2016,64400000
Fantastic Beasts and Where to Find Them,2016,814000000
The Jungle Book,2016,966600000
The Salesman,2016,16100000000
Suicide Squad,2016,746800000
Zootopia,2016,1024000000
Spotlight,2015,98300000
Mad Max: Fury Road,2015,374700000
The Revenant,2015,533000000
Bridge of Spies,2015,165500000
The Big Short,2015,133400000
The Danish Girl,2015,64200000
Room,2015,36300000
The Hateful Eight,2015,155800000
Ex Machina,2015,36900000
Inside Out,2015,857600000
Amy,2015,23700000
Son of Saul,2015,9700000
Spectre,2015,880700000
Birdman,2014,103200000
The Grand Budapest Hotel,2014,172900000
Whiplash,2014,49000000
The Imitation Game,2014,233600000
American Sniper,2014,547400000
Boyhood,2014,57300000
Interstellar,2014,677500000
Ida,2014,15300000
Selma,2014,66800000
Citizenfour,2014,3000000
Big Hero 6,2014,657800000
Still Alice,2014,44800000
12 Years a Slave,2013,187700000
Gravity,2013,723200000
Dallas Buyers Club,2013,55700000
Frozen,2013,1280000000
The Great Gatsby,2013,353600000
Her,2013,48300000
Blue Jasmine,2013,99100000
The Great Beauty,2013,24164400
20 Feet from Stardom,2013,5800000
Argo,2012,232300000
Life of Pi,2012,609000000
Les Misérables,2012,441800000
Lincoln,2012,275300000
Django Unchained,2012,425400000
Skyfall,2012,1109000000
Silver Linings Playbook,2012,236400000
Zero Dark Thirty,2012,132800000
Amour,2012,29900000
Anna Karenina,2012,68900000
Brave,2012,540400000
Searching for Sugar Man,2012,9100000
The Artist,2011,133400000
Hugo,2011,185800000
The Iron Lady,2011,115900000
The Descendants,2011,177200000
The Girl with the Dragon Tattoo,2011,232600000
Midnight in Paris,2011,154100000
The Help,2011,216600000
A Separation,2011,24400000
Undefeated,2011,562218
The Muppets,2011,165200000
Beginners,2011,14300000
Rango,2011,245700000
The King's Speech,2010,424000000
Inception,2010,829900000
The Social Network,2010,224900000
The Fighter,2010,129200000
Toy Story 3,2010,1067000000
Alice in Wonderland,2010,1025000000
Black Swan,2010,330400000
The Wolfman,2010,139800000
Inside Job,2010,7900000
The Hurt Locker,2009,49200000
Avatar,2009,2790000000
Precious,2009,63600000
Up,2009,735100000
Crazy Heart,2009,47400000
Inglourious Basterds,2009,321500000
Star Trek,2009,385700000
The Young Victoria,2009,31878891
The Blind Side,2009,309200000
The Secret in Their Eyes,2009,34000000
The Cove,2009,1140043
Slumdog Millionaire,2008,378100000
The Curious Case of Benjamin Button,2008,335800000
Milk,2008,54600000
The Dark Knight,2008,1005000000
WALL-E,2008,533300000
The Reader,2008,108900000
The Duchess,2008,43306325
Departures,2008,70000000
Vicky Cristina Barcelona,2008,104500000
Man on Wire,2008,5300000
No Country for Old Men,2007,171600000
The Bourne Ultimatum,2007,444100000
There Will Be Blood,2007,76200000
La Vie en rose,2007,86300000
Atonement,2007,131000000
Michael Clayton,2007,93000000
Ratatouille,2007,620700000
Juno,2007,231400000
Sweeney Todd: The Demon Barber of Fleet Street,2007,153400000
The Golden Compass,2007,372200000
Once,2007,23300000
The Counterfeiters,2007,20199663
The Departed,2006,291500000
Pan's Labyrinth,2006,83300000
Dreamgirls,2006,154800000
Little Miss Sunshine,2006,101100000
An Inconvenient Truth,2006,49800000
Babel,2006,135300000
Letters from Iwo Jima,2006,68700000
Pirates of the Caribbean: Dead Man's Chest,2006,1066000000
Happy Feet,2006,384300000
The Last King of Scotland,2006,48400000
Marie Antoinette,2006,60900000
Crash,2005,101200000
Brokeback Mountain,2005,178100000
Memoirs of a Geisha,2005,162200000
King Kong,2005,562300000
Capote,2005,50000000
Walk the Line,2005,187000000
The Constant Gardener,2005,82400000
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,2005,745000000
Hustle & Flow,2005,23500000
Syriana,2005,94000000
March of the Penguins,2005,127400000
Tsotsi,2005,11500000
Wallace & Gromit: The Curse of the Were-Rabbit,2005,192600000
Million Dollar Baby,2004,216800000
The Aviator,2004,213700000
Ray,2004,124700000
The Incredibles,2004,633000000
Finding Neverland,2004,116800000
Sideways,2004,109700000
Lemony Snicket's A Series of Unfortunate Events,2004,211500000
Spider-Man 2,2004,789000000
Eternal Sunshine of the Spotless Mind,2004,72300000
The Motorcycle Diaries,2004,57700000
The Sea Inside,2004,38535221
Born into Brothels,2004,3515061
The Lord of the Rings: The Return of the King,2003,1142000000
Master and Commander: The Far Side of the World,2003,212000000
Mystic River,2003,156800000
Cold Mountain,2003,173000000
Lost in Translation,2003,119700000
Finding Nemo,2003,871000000
Monster,2003,64200000
The Fog of War,2002,5000000
Chicago,2002,306800000
The Pianist,2002,120100000
The Lord of the Rings: The Two Towers,2002,951200000
Frida,2002,56300000
The Hours,2002,108800000
Road to Perdition,2002,181000000
Adaptation,2002,32800000
Talk to Her,2002,51001550
Spirited Away,2002,347700000
Bowling for Columbine,2002,58000000
8 Mile,2002,242900000
A Beautiful Mind,2001,313000000
The Lord of the Rings: The Fellowship of the Ring,2001,887800000
Moulin Rouge!,2001,179200000
Black Hawk Down,2001,173000000
Gosford Park,2001,87800000
Monsters, Inc.,2001,577400000
Pearl Harbor,2001,449200000
Iris,2001,16200000
Shrek,2001,484400000
Training Day,2001,104500000
No Man's Land,2001,4858869
Gladiator,2000,460500000
Traffic,2000,208300000
Erin Brockovich,2000,256300000
Almost Famous,2000,47400000
Wonder Boys,2000,33400000
How the Grinch Stole Christmas,2000,345100000
U-571,2000,127000000
Pollock,2000,10500000
